Description,Type,Water Depth,Latitude,Longitude,USGS HUC Code,Characteristic,Result Value,Units,Project Name,Sample Date,Value Type
,,,,,,Total Chloride                                ,194,mg/L          ,WCMP,3/24/2010,Actual
,,,,,,Total Nitrate + Nitrite                       ,1.6,mg/L,WCMP,3/24/2010,Actual
,,,,,,Total pH (Field),8.2,pH            ,WCMP,3/24/2010,Actual
,,,,,,Total Total Dissolved Solids,710,mg/L          ,WCMP,3/24/2010,Actual
,,,,,,Total Total Nitrite,0.017,mg/L,WCMP,3/24/2010,Actual
,,,,,,Total Total Sodium,109,mg/L          ,WCMP,3/24/2010,Actual
,,,,,,Total Chloride                                ,220,mg/L          ,WCMP,3/21/2011,Actual
,,,,,,Total Nitrate + Nitrite                       ,1.21,mg/L,WCMP,3/21/2011,Actual
,,,,,,Total Total Calcium,52,mg/L          ,WCMP,3/21/2011,Actual
,,,,,,Total Total Magnesium,11.9,mg/L          ,WCMP,3/21/2011,Actual
,,,,,,Total Total Nitrate,1.18,mg/L,WCMP,3/21/2011,Actual
,,,,,,Total Conductivity (Field),1020,umhos/cm      ,WCMP,3/21/2011,Actual
,,,,,,Total Hardness Ca2CO3,179,mg/L          ,WCMP,3/21/2011,Actual
,,,,,,Total Temperature of Water,5.6,° C           ,WCMP,3/21/2011,Actual
,,,,,,Total Total Alkalinity,120,mg/L          ,WCMP,3/21/2011,Actual
,,,,,,Total Total Nitrite,0.031,mg/L,WCMP,3/21/2011,Actual
,,,,,,Total Total Organic Carbon,6.2,mg/L          ,WCMP,3/21/2011,Actual
,,,,,,Total Total Ortho Phosphate,0.047,mg/L,WCMP,3/21/2011,Actual
,,,,,,Total Total Potassium,3.3,mg/L          ,WCMP,3/21/2011,Actual
,,,,,,Total Total Sodium,142,mg/L          ,WCMP,3/21/2011,Actual
,,,,,,Total Total Sulfate,24,mg/L          ,WCMP,3/21/2011,Actual
,,,,,,Total Conductivity (Lab),1030,umhos/cm      ,WCMP,3/21/2011,Actual
,,,,,,Total Dissolved Oxygen (Field),12.1,mg/L          ,WCMP,3/21/2011,Actual
,,,,,,Total pH (Lab),7.85,pH            ,WCMP,3/21/2011,Actual
,,,,,,Total Total Dissolved Solids,670,mg/L          ,WCMP,3/21/2011,Actual
,,,,,,Total Total Kjeldahl Nitrogen                 ,1.38,mg/L,WCMP,3/21/2011,Actual
,,,,,,Total Total Phosphorus                        ,0.24,mg/L,WCMP,3/21/2011,Actual
,,,,,,Total pH (Field),8.4,pH            ,WCMP,3/21/2011,Actual
,,,,,,Total Total Ammonia,0.15,mg/L,WCMP,3/21/2011,Actual
,,,,,,Total Total Suspended Solids,120,mg/L          ,WCMP,3/21/2011,Actual
,,,,,,Total Turbidity                               ,60,NTU           ,WCMP,3/21/2011,Actual
,,,,,,Total Hardness Ca2CO3,246,mg/L,WCMP,3/19/2008,Actual
,,,,,,Total pH (Field),7.9,pH,WCMP,3/19/2008,Actual
,,,,,,Total Temperature of Water,2.7,C,WCMP,3/19/2008,Actual
,,,,,,Total Total Nitrate,1.47,mg/L,WCMP,3/19/2008,Actual
,,,,,,Total Total Nitrite,0.05,mg/L,WCMP,3/19/2008,Actual
,,,,,,Total Total Sodium,140,mg/L,WCMP,3/19/2008,Actual
,,,,,,Total Turbidity,23,NTU,WCMP,3/19/2008,Actual
,,,,,,Total Conductivity (Field),1180,umhos/cm,WCMP,3/19/2008,Actual
,,,,,,Total Total Alkalinity,156,mg CaCO3/L,WCMP,3/19/2008,Actual
,,,,,,Total Total Dissolved Solids,800,mg/L,WCMP,3/19/2008,Actual
,,,,,,Total Total Kjeldahl Nitrogen,1.06,mg/L,WCMP,3/19/2008,Actual
,,,,,,Total Total Phosphorus,0.138,mg/L,WCMP,3/19/2008,Actual
,,,,,,Total Total Suspended Solids,44,mg/L,WCMP,3/19/2008,Actual
,,,,,,Total Conductivity (Lab),1229,umhos/cm,WCMP,3/19/2008,Actual
,,,,,,Total Total Ammonia,0.144,mg/L,WCMP,3/19/2008,Actual
,,,,,,Total Total Calcium,69.3,mg/L,WCMP,3/19/2008,Actual
,,,,,,Total Dissolved Oxygen (Field),11.8,mg/L,WCMP,3/19/2008,Actual
,,,,,,Total pH (Lab),8,pH,WCMP,3/19/2008,Actual
,,,,,,Total Total Magnesium,17.6,mg/L,WCMP,3/19/2008,Actual
,,,,,,Total Total Organic Carbon,7.3,mg/L,WCMP,3/19/2008,Actual
,,,,,,Total Total Ortho Phosphate,0.033,mg/L,WCMP,3/19/2008,Actual
,,,,,,Total Total Potassium,4.4,mg/L,WCMP,3/19/2008,Actual
,,,,,,Total Total Sulfate,45,mg/L,WCMP,3/19/2008,Actual
,,,,,,Total Alkalinity, Total - carbonate, bicarbonate, & hydroxide mix,76,mg/l
,,,,,,Total Chloride,282,mg/l,WCTMP,3/17/2003,Actual
,,,,,,Total Hardness, carbonate,142,mg/l,WCTMP,3/17/2003
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,1.12,mg/l,WCTMP,3/17/2003
,,,,,,Total Specific conductivity,1125,umho/cm,WCTMP,3/17/2003,Actual
,,,,,,Total Total Suspended Solids (TSS),170,mg/l,WCTMP,3/17/2003,Actual
,,,,,,Total Turbidity,140,mg/l,WCTMP,3/17/2003,Actual
,,,,,,Dissolved Dissolved Solids,730,mg/l,WCTMP,3/17/2003,Calculated
,,,,,,Total Calcium,40.3,mg/l,WCTMP,3/17/2003,Actual
,,,,,,Total Chromium,5.16,ug/l,WCTMP,3/17/2003,Actual
,,,,,,Total Mercury,21.64,ng/l,WCTMP,3/17/2003,Actual
,,,,,,Total Nickel,6.44,ug/l,WCTMP,3/17/2003,Actual
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.06,mg/l,WCTMP,3/17/2003
,,,,,,Total Potassium,7.1,mg/l,WCTMP,3/17/2003,Actual
,,,,,,Total Cadmium,0.16,ug/l,WCTMP,3/17/2003,Actual
,,,,,,Total Copper,10.1,ug/l,WCTMP,3/17/2003,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.76,mg/l,WCTMP,3/17/2003
,,,,,,Total Sodium,154,mg/l,WCTMP,3/17/2003,Actual
,,,,,,Total Total Organic Carbon (TOC),16,mg/l,WCTMP,3/17/2003,Actual
,,,,,, Temperature, water,1.8,deg C,WCTMP,3/17/2003
,,,,,,Total Cyanide,0.006,mg/l,WCTMP,3/17/2003,Actual
,,,,,,Total Lead,8.45,ug/l,WCTMP,3/17/2003,Actual
,,,,,,Total Magnesium,10,mg/l,WCTMP,3/17/2003,Actual
,,,,,,Total Nitrogen, Kjeldahl,3.1,mg/l,WCTMP,3/17/2003
,,,,,,Total pH,7.62,,WCTMP,3/17/2003,Actual
,,,,,,Total Phosphorus,0.44,mg/l,WCTMP,3/17/2003,Actual
,,,,,,Total Phosphorus, orthophosphate as P,0.058,mg/l,WCTMP,3/17/2003
,,,,,,Total Sulfate (SO4) as SO4,23,mg/l,WCTMP,3/17/2003,Actual
,,,,,,Total Zinc,46.3,ug/l,WCTMP,3/17/2003,Actual
,,,,,,Total Conductivity (Lab),1105,umhos/cm,WCMP,3/15/2007,Actual
,,,,,,Total Total Calcium,69.1,mg/L,WCMP,3/15/2007,Actual
,,,,,,Total Total Dissolved Solids,720,mg/L,WCMP,3/15/2007,Actual
,,,,,,Total Total Sodium,126,mg/L,WCMP,3/15/2007,Actual
,,,,,,Total Conductivity (Field),1129,umhos/cm,WCMP,3/15/2007,Actual
,,,,,,Total pH (Field),8.2,pH,WCMP,3/15/2007,Actual
,,,,,,Total Temperature of Water,5.5,C,WCMP,3/15/2007,Actual
,,,,,,Total Total Alkalinity,169,mg CaCO3/L,WCMP,3/15/2007,Actual
,,,,,,Total Total Kjeldahl Nitrogen,0.93,mg/L,WCMP,3/15/2007,Actual
,,,,,,Total Total Magnesium,17.4,mg/L,WCMP,3/15/2007,Actual
,,,,,,Total Total Nitrite,0.029,mg/L,WCMP,3/15/2007,Actual
,,,,,,Total Total Sulfate,28,mg/L,WCMP,3/15/2007,Actual
,,,,,,Total Hardness Ca2CO3,244,mg/L,WCMP,3/15/2007,Actual
,,,,,,Total pH (Lab),7.88,pH,WCMP,3/15/2007,Actual
,,,,,,Total Dissolved Oxygen (Field),10.9,mg/L,WCMP,3/15/2007,Actual
,,,,,,Total Total Ammonia,0.138,mg/L,WCMP,3/15/2007,Actual
,,,,,,Total Total Nitrate,1.52,mg/L,WCMP,3/15/2007,Actual
,,,,,,Total Total Organic Carbon,8.1,mg/L,WCMP,3/15/2007,Actual
,,,,,,Total Total Ortho Phosphate,0.027,mg/L,WCMP,3/15/2007,Actual
,,,,,,Total Total Phosphorus,0.141,mg/L,WCMP,3/15/2007,Actual
,,,,,,Total Total Potassium,4.3,mg/L,WCMP,3/15/2007,Actual
,,,,,,Total Total Suspended Solids,45,mg/L,WCMP,3/15/2007,Actual
,,,,,,Total Turbidity,30,NTU,WCMP,3/15/2007,Actual
,,,,,,Total Conductivity (Lab),664,umhos/cm,WCMP,3/14/2006,Actual
,,,,,,Total Dissolved Oxygen (Field),9.9,mg/L,WCMP,3/14/2006,Actual
,,,,,,Total Total Magnesium,14.3,mg/L,WCMP,3/14/2006,Actual
,,,,,,Total Total Ortho Phosphate,0.043,mg/L,WCMP,3/14/2006,Actual
,,,,,,Total Conductivity (Field),658,umhos/cm,WCMP,3/14/2006,Actual
,,,,,,Total Hardness Ca2CO3,187,mg/L,WCMP,3/14/2006,Actual
,,,,,,Total Temperature of Water,6.9,C,WCMP,3/14/2006,Actual
,,,,,,Total Total Ammonia,0.103,mg/L,WCMP,3/14/2006,Actual
,,,,,,Total pH (Field),8,pH,WCMP,3/14/2006,Actual
,,,,,,Total pH (Lab),7.76,pH,WCMP,3/14/2006,Actual
,,,,,,Total Total Calcium,51.2,mg/L,WCMP,3/14/2006,Actual
,,,,,,Total Total Dissolved Solids,430,mg/L,WCMP,3/14/2006,Actual
,,,,,,Total Total Nitrate,1.11,mg/L,WCMP,3/14/2006,Actual
,,,,,,Total Total Organic Carbon,8.1,mg/L,WCMP,3/14/2006,Actual
,,,,,,Total Total Phosphorus,0.21,mg/L,WCMP,3/14/2006,Actual
,,,,,,Total Turbidity,80,NTU,WCMP,3/14/2006,Actual
,,,,,,Total Total Alkalinity,126,mg CaCO3/L,WCMP,3/14/2006,Actual
,,,,,,Total Total Kjeldahl Nitrogen,1.21,mg/L,WCMP,3/14/2006,Actual
,,,,,,Total Total Nitrite,0.028,mg/L,WCMP,3/14/2006,Actual
,,,,,,Total Total Potassium,4.5,mg/L,WCMP,3/14/2006,Actual
,,,,,,Total Total Sodium,56.1,mg/L,WCMP,3/14/2006,Actual
,,,,,,Total Total Sulfate,25,mg/L,WCMP,3/14/2006,Actual
,,,,,,Total Total Suspended Solids,66,mg/L,WCMP,3/14/2006,Actual
,,,,,,Total Alkalinity, Bicarbonate as CaCO3,212,mg/l,WCTMP,3/14/2005
,,,,,,Total Alkalinity, Total (total hydroxide+carbonate+bicarbonate),214,mg/l,WCTMP,3/14/2005
,,,,,,Total Calcium,95.8,mg/l,WCTMP,3/14/2005,Actual
,,,,,,Total Hardness, carbonate,340,mg/l,WCTMP,3/14/2005
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.144,mg/l,WCTMP,3/14/2005
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.027,mg/l,WCTMP,3/14/2005
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.028,mg/l,WCTMP,3/14/2005
,,,,,,Total Specific conductance,1944,umho/cm,WCTMP,3/14/2005,Actual
,,,,,,Total Sulfur, sulfate (SO4) as SO4,36,mg/l,WCTMP,3/14/2005
,,,,,,Total Total Organic Carbon (TOC),5.9,mg/l,WCTMP,3/14/2005,Actual
,,,,,,Total Total Suspended Solids (TSS),9,mg/l,WCTMP,3/14/2005,Actual
,,,,,,Total Turbidity,7,mg/l,WCTMP,3/14/2005,Actual
,,,,,,Total Zinc,8.29,ug/l,WCTMP,3/14/2005,Actual
,,,,,,Total Alkalinity, Carbonate as CaCO3,*Non-detect,mg/l,WCTMP,3/14/2005
,,,,,,Total Cadmium,0.045,ug/l,WCTMP,3/14/2005,Actual
,,,,,,Total Chloride,447,mg/l,WCTMP,3/14/2005,Actual
,,,,,,Total Hardness, carbonate,335,mg/l,WCTMP,3/14/2005
,,,,,,Total Mercury in Water,1.79,ug/l,WCTMP,3/14/2005,Actual
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,1.67,mg/l,WCTMP,3/14/2005
,,,,,,Total pH,8.09,,WCTMP,3/14/2005,Actual
,,,,,,Total Sodium,299,mg/l,WCTMP,3/14/2005,Actual
,,,,,,Total Alkalinity, Bicarbonate as CaCO3,214,mg/l,WCTMP,3/14/2005
,,,,,,Total Alkalinity, Total (total hydroxide+carbonate+bicarbonate),212,mg/l,WCTMP,3/14/2005
,,,,,,Total Copper,2.9,ug/l,WCTMP,3/14/2005,Actual
,,,,,,Total Magnesium,24.1,mg/l,WCTMP,3/14/2005,Actual
,,,,,,Total Magnesium,24.3,mg/l,WCTMP,3/14/2005,Actual
,,,,,,Total Nitrogen, Kjeldahl,0.87,mg/l,WCTMP,3/14/2005
,,,,,,Total Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N,1.7,mg/l,WCTMP,3/14/2005
,,,,,,Total Phosphorus,0.05,mg/l,WCTMP,3/14/2005,Actual
,,,,,,Total Total Organic Carbon (TOC),5.3,mg/l,WCTMP,3/14/2005,Actual
,,,,,,Total Turbidity,6.5,mg/l,WCTMP,3/14/2005,Actual
,,,,,, Temperature, water,2.4,deg C,WCTMP,3/14/2005
,,,,,,Dissolved Dissolved Solids,1260,mg/l,WCTMP,3/14/2005,Calculated
,,,,,,Total Calcium,94.4,mg/l,WCTMP,3/14/2005,Actual
,,,,,,Total Chloride,449,mg/l,WCTMP,3/14/2005,Actual
,,,,,,Total Chromium,0.798,ug/l,WCTMP,3/14/2005,Actual
,,,,,,Total Lead,0.94,ug/l,WCTMP,3/14/2005,Actual
,,,,,,Total Nickel,3.33,ug/l,WCTMP,3/14/2005,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.143,mg/l,WCTMP,3/14/2005
,,,,,,Total Phosphorus,0.053,mg/l,WCTMP,3/14/2005,Actual
,,,,,,Total Phosphorus, orthophosphate as P,0.021,mg/l,WCTMP,3/14/2005
,,,,,,Total Phosphorus, orthophosphate as P,0.024,mg/l,WCTMP,3/14/2005
,,,,,,Total Potassium,4.3,mg/l,WCTMP,3/14/2005,Actual
,,,,,,Total Sodium,295,mg/l,WCTMP,3/14/2005,Actual
,,,,,,Total Specific conductance,1943,umho/cm,WCTMP,3/14/2005,Actual
,,,,,,Total Sulfur, sulfate (SO4) as SO4,35,mg/l,WCTMP,3/14/2005
,,,,,,Total Total Suspended Solids (TSS),12,mg/l,WCTMP,3/14/2005,Actual
,,,,,,Total Cadmium,0.1,ug/l,WCTMP,2/26/2001,Actual
,,,,,,Total Chloride,98,mg/l,WCTMP,2/26/2001,Actual
,,,,,,Total Magnesium,9,mg/l,WCTMP,2/26/2001,Actual
,,,,,,Total pH,8.14,,WCTMP,2/26/2001,Actual
,,,,,,Total Specific conductivity,559,umho/cm,WCTMP,2/26/2001,Actual
,,,,,,Total Total Organic Carbon (TOC),7.2,mg/l,WCTMP,2/26/2001,Actual
,,,,,,Dissolved Dissolved Solids,360,mg/l,WCTMP,2/26/2001,Calculated
,,,,,,Total Chromium,3.97,ug/l,WCTMP,2/26/2001,Actual
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.021,mg/l,WCTMP,2/26/2001
,,,,,,Total Phosphorus,0.25,mg/l,WCTMP,2/26/2001,Actual
,,,,,,Total Turbidity,76,mg/l,WCTMP,2/26/2001,Actual
,,,,,,Total Calcium,36.8,mg/l,WCTMP,2/26/2001,Actual
,,,,,,Total Copper,6.46,ug/l,WCTMP,2/26/2001,Actual
,,,,,,Total Cyanide,*Present <QL,mg/l,WCTMP,2/26/2001,Actual
,,,,,,Total Hardness, carbonate,129,mg/l,WCTMP,2/26/2001
,,,,,,Total Nickel,3.2,ug/l,WCTMP,2/26/2001,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.28,mg/l,WCTMP,2/26/2001
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,0.89,mg/l,WCTMP,2/26/2001
,,,,,, Temperature, water,0.6,deg C,WCTMP,2/26/2001
,,,,,,Total Alkalinity, Total - carbonate, bicarbonate, & hydroxide mix,76,mg/l
,,,,,,Total Lead,3.91,ug/l,WCTMP,2/26/2001,Actual
,,,,,,Total Mercury,10.84,ng/l,WCTMP,2/26/2001,Actual
,,,,,,Total Nitrogen, Kjeldahl,1.07,mg/l,WCTMP,2/26/2001
,,,,,,Total Phosphorus, orthophosphate as P,0.088,mg/l,WCTMP,2/26/2001
,,,,,,Total Sulfate (SO4) as SO4,16,mg/l,WCTMP,2/26/2001,Actual
,,,,,,Total Total Suspended Solids (TSS),73,mg/l,WCTMP,2/26/2001,Actual
,,,,,,Total Zinc,20.7,ug/l,WCTMP,2/26/2001,Actual
,,,,,,Total Copper,5.42,ug/l,WCTMP,2/21/2002,Actual
,,,,,,Total Hardness, carbonate,235,mg/l,WCTMP,2/21/2002
,,,,,,Total Nitrogen, Kjeldahl,1.17,mg/l,WCTMP,2/21/2002
,,,,,,Total pH,7.84,,WCTMP,2/21/2002,Actual
,,,,,,Total Sodium,91.8,mg/l,WCTMP,2/21/2002,Actual
,,,,,,Total Specific conductivity,911,umho/cm,WCTMP,2/21/2002,Actual
,,,,,,Total Total Suspended Solids (TSS),86,mg/l,WCTMP,2/21/2002,Actual
,,,,,,Total Alkalinity, Total - carbonate, bicarbonate, & hydroxide mix,143,mg/l
,,,,,,Total Cadmium,0.123,ug/l,WCTMP,2/21/2002,Actual
,,,,,,Total Chloride,171,mg/l,WCTMP,2/21/2002,Actual
,,,,,,Total Mercury,11.64,ng/l,WCTMP,2/21/2002,Actual
,,,,,,Total Nickel,4.83,ug/l,WCTMP,2/21/2002,Actual
,,,,,,Total Potassium,5,mg/l,WCTMP,2/21/2002,Actual
,,,,,,Total Total Organic Carbon (TOC),9.1,mg/l,WCTMP,2/21/2002,Actual
,,,,,,Total Zinc,23.5,ug/l,WCTMP,2/21/2002,Actual
,,,,,,Total Calcium,66.5,mg/l,WCTMP,2/21/2002,Actual
,,,,,,Total Chromium,4.18,ug/l,WCTMP,2/21/2002,Actual
,,,,,,Total Cyanide,*Present <QL,mg/l,WCTMP,2/21/2002,Actual
,,,,,,Total Lead,4.9,ug/l,WCTMP,2/21/2002,Actual
,,,,,,Total Magnesium,16.8,mg/l,WCTMP,2/21/2002,Actual
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.024,mg/l,WCTMP,2/21/2002
,,,,,,Total Sulfate (SO4) as SO4,41,mg/l,WCTMP,2/21/2002,Actual
,,,,,,Total Turbidity,81,mg/l,WCTMP,2/21/2002,Actual
,,,,,, Temperature, water,4.3,deg C,WCTMP,2/21/2002
,,,,,,Dissolved Dissolved Solids,590,mg/l,WCTMP,2/21/2002,Calculated
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.12,mg/l,WCTMP,2/21/2002
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,1.32,mg/l,WCTMP,2/21/2002
,,,,,,Total Phosphorus,0.194,mg/l,WCTMP,2/21/2002,Actual
,,,,,,Total Phosphorus, orthophosphate as P,0.04,mg/l,WCTMP,2/21/2002
,,,,,,Total Calcium,51.7,mg/l,WCTMP,2/12/2001,Actual
,,,,,,Total Chloride,104,mg/l,WCTMP,2/12/2001,Actual
,,,,,,Total Chromium,2.3,ug/l,WCTMP,2/12/2001,Actual
,,,,,,Total Magnesium,14.8,mg/l,WCTMP,2/12/2001,Actual
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,2,mg/l,WCTMP,2/12/2001
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.02,mg/l,WCTMP,2/12/2001
,,,,,,Total Specific conductivity,682,umho/cm,WCTMP,2/12/2001,Actual
,,,,,,Total Turbidity,45,mg/l,WCTMP,2/12/2001,Actual
,,,,,,Total Copper,4.08,ug/l,WCTMP,2/12/2001,Actual
,,,,,,Total Lead,2.53,ug/l,WCTMP,2/12/2001,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.12,mg/l,WCTMP,2/12/2001
,,,,,,Total pH,7.87,,WCTMP,2/12/2001,Actual
,,,,,,Total Phosphorus, orthophosphate as P,0.054,mg/l,WCTMP,2/12/2001
,,,,,,Total Total Organic Carbon (TOC),6.2,mg/l,WCTMP,2/12/2001,Actual
,,,,,, Temperature, water,0.7,deg C,WCTMP,2/12/2001
,,,,,,Total Alkalinity, Total - carbonate, bicarbonate, & hydroxide mix,138,mg/l
,,,,,,Total Cyanide,*Present <QL,mg/l,WCTMP,2/12/2001,Actual
,,,,,,Total Mercury,5.68,ng/l,WCTMP,2/12/2001,Actual
,,,,,,Total Nickel,2.94,ug/l,WCTMP,2/12/2001,Actual
,,,,,,Total Phosphorus,0.22,mg/l,WCTMP,2/12/2001,Actual
,,,,,,Total Sulfate (SO4) as SO4,22,mg/l,WCTMP,2/12/2001,Actual
,,,,,,Total Total Suspended Solids (TSS),43,mg/l,WCTMP,2/12/2001,Actual
,,,,,,Total Zinc,14.6,ug/l,WCTMP,2/12/2001,Actual
,,,,,,Dissolved Dissolved Solids,440,mg/l,WCTMP,2/12/2001,Calculated
,,,,,,Total Cadmium,0.08,ug/l,WCTMP,2/12/2001,Actual
,,,,,,Total Hardness, carbonate,190,mg/l,WCTMP,2/12/2001
,,,,,,Total Nitrogen, Kjeldahl,1.14,mg/l,WCTMP,2/12/2001
,,,,,,Total Conductivity (Field),967,umhos/cm      ,WCMP,11/8/2011,Actual
,,,,,,Total Dissolved Oxygen (Field),9.7,mg/L          ,WCMP,11/8/2011,Actual
,,,,,,Total pH (Field),8.2,pH            ,WCMP,11/8/2011,Actual
,,,,,,Total pH (Lab),8.09,pH            ,WCMP,11/8/2011,Actual
,,,,,,Total Total Calcium,83.8,mg/L          ,WCMP,11/8/2011,Actual
,,,,,,Total Total Kjeldahl Nitrogen                 ,0.67,mg/L,WCMP,11/8/2011,Actual
,,,,,,Total Total Organic Carbon,5.9,mg/L          ,WCMP,11/8/2011,Actual
,,,,,,Total Total Phosphorus                        ,0.092,mg/L,WCMP,11/8/2011,Actual
,,,,,,Total Total Potassium,3.7,mg/L          ,WCMP,11/8/2011,Actual
,,,,,,Total Conductivity (Lab),1012,umhos/cm      ,WCMP,11/8/2011,Actual
,,,,,,Total Temperature of Water,10.6,° C           ,WCMP,11/8/2011,Actual
,,,,,,Total Total Ammonia,0.022,mg/L,WCMP,11/8/2011,Actual
,,,,,,Total Total Sodium,87.7,mg/L          ,WCMP,11/8/2011,Actual
,,,,,,Total Total Suspended Solids,7,mg/L          ,WCMP,11/8/2011,Actual
,,,,,,Total Turbidity                               ,5,NTU           ,WCMP,11/8/2011,Actual
,,,,,,Total Chloride                                ,150,mg/L          ,WCMP,11/8/2011,Actual
,,,,,,Total Nitrate + Nitrite                       ,1.64,mg/L,WCMP,11/8/2011,Actual
,,,,,,Total Total Magnesium,22.4,mg/L          ,WCMP,11/8/2011,Actual
,,,,,,Total Total Nitrate,1.62,mg/L,WCMP,11/8/2011,Actual
,,,,,,Total Total Nitrite,0.015,mg/L,WCMP,11/8/2011,Actual
,,,,,,Total Total Ortho Phosphate,0.065,mg/L,WCMP,11/8/2011,Actual
,,,,,,Total Total Sulfate,33,mg/L          ,WCMP,11/8/2011,Actual
,,,,,,Total Hardness Ca2CO3,302,mg/L          ,WCMP,11/8/2011,Actual
,,,,,,Total Total Alkalinity,240,mg/L          ,WCMP,11/8/2011,Actual
,,,,,,Total Total Dissolved Solids,660,mg/L          ,WCMP,11/8/2011,Actual
,,,,,,Total Nitrate + Nitrite                       ,2.8,mg/L,WCMP,11/8/2010,Actual
,,,,,,Total pH (Lab),8.11,pH            ,WCMP,11/8/2010,Actual
,,,,,,Total Total Ammonia,0.031,mg/L,WCMP,11/8/2010,Actual
,,,,,,Total Conductivity (Lab),916,umhos/cm      ,WCMP,11/8/2010,Actual
,,,,,,Total pH (Field),8,pH            ,WCMP,11/8/2010,Actual
,,,,,,Total Total Calcium,66.5,mg/L          ,WCMP,11/8/2010,Actual
,,,,,,Total Total Magnesium,21.8,mg/L          ,WCMP,11/8/2010,Actual
,,,,,,Total Total Ortho Phosphate,0.083,mg/L,WCMP,11/8/2010,Actual
,,,,,,Total Total Sodium,83.6,mg/L          ,WCMP,11/8/2010,Actual
,,,,,,Total Chloride                                ,156,mg/L          ,WCMP,11/8/2010,Actual
,,,,,,Total Conductivity (Field),924,umhos/cm      ,WCMP,11/8/2010,Actual
,,,,,,Total Total Nitrate,2.8,mg/L,WCMP,11/8/2010,Actual
,,,,,,Total Total Potassium,4.6,mg/L          ,WCMP,11/8/2010,Actual
,,,,,,Total Total Suspended Solids,0,mg/L          ,WCMP,11/8/2010,Actual
,,,,,,Total Dissolved Oxygen (Field),10.9,mg/L          ,WCMP,11/8/2010,Actual
,,,,,,Total Hardness Ca2CO3,256,mg/L          ,WCMP,11/8/2010,Actual
,,,,,,Total Temperature of Water,6.2,° C           ,WCMP,11/8/2010,Actual
,,,,,,Total Total Alkalinity,181,mg CaCO3/L,WCMP,11/8/2010,Actual
,,,,,,Total Total Dissolved Solids,600,mg/L          ,WCMP,11/8/2010,Actual
,,,,,,Total Total Kjeldahl Nitrogen                 ,0.71,mg/L,WCMP,11/8/2010,Actual
,,,,,,Total Total Nitrite,0.011,mg/L,WCMP,11/8/2010,Actual
,,,,,,Total Total Organic Carbon,5.5,mg/L          ,WCMP,11/8/2010,Actual
,,,,,,Total Total Phosphorus                        ,0.113,mg/L,WCMP,11/8/2010,Actual
,,,,,,Total Total Sulfate,29,mg/L          ,WCMP,11/8/2010,Actual
,,,,,,Total Turbidity                               ,3.3,NTU           ,WCMP,11/8/2010,Actual
,,,,,,Total pH (Field),8,pH,WCMP,11/8/2007,Actual
,,,,,,Total Total Alkalinity,183,mg CaCO3/L,WCMP,11/8/2007,Actual
,,,,,,Total Total Potassium,4.5,mg/L,WCMP,11/8/2007,Actual
,,,,,,Total Turbidity,4.3,NTU,WCMP,11/8/2007,Actual
,,,,,,Total Conductivity (Lab),959,umhos/cm,WCMP,11/8/2007,Actual
,,,,,,Total Hardness Ca2CO3,240,mg/L,WCMP,11/8/2007,Actual
,,,,,,Total Total Nitrite,0.01,mg/L,WCMP,11/8/2007,Actual
,,,,,,Total Total Suspended Solids,2,mg/L,WCMP,11/8/2007,Actual
,,,,,,Total Dissolved Oxygen (Field),10.7,mg/L,WCMP,11/8/2007,Actual
,,,,,,Total pH (Lab),8.05,pH,WCMP,11/8/2007,Actual
,,,,,,Total Temperature of Water,6.5,C,WCMP,11/8/2007,Actual
,,,,,,Total Total Kjeldahl Nitrogen,0.71,mg/L,WCMP,11/8/2007,Actual
,,,,,,Total Total Magnesium,22.2,mg/L,WCMP,11/8/2007,Actual
,,,,,,Total Total Organic Carbon,6.2,mg/L,WCMP,11/8/2007,Actual
,,,,,,Total Total Phosphorus,0.073,mg/L,WCMP,11/8/2007,Actual
,,,,,,Total Total Sodium,93.8,mg/L,WCMP,11/8/2007,Actual
,,,,,,Total Conductivity (Field),961,umhos/cm,WCMP,11/8/2007,Actual
,,,,,,Total Total Ammonia,0.035,mg/L,WCMP,11/8/2007,Actual
,,,,,,Total Total Calcium,59.5,mg/L,WCMP,11/8/2007,Actual
,,,,,,Total Total Dissolved Solids,620,mg/L,WCMP,11/8/2007,Actual
