Description,Type,Water Depth,Latitude,Longitude,USGS HUC Code,Characteristic,Result Value,Units,Project Name,Sample Date,Value Type
,,,,,,Total Hardness Ca2CO3,193,mg/L,WCMP,4/26/2006,Actual
,,,,,,Total pH (Field),7.6,pH,WCMP,4/26/2006,Actual
,,,,,,Total Total Nitrate,0.98,mg/L,WCMP,4/26/2006,Actual
,,,,,,Total Total Potassium,7.1,mg/L,WCMP,4/26/2006,Actual
,,,,,,Total Total Sodium,82.7,mg/L,WCMP,4/26/2006,Actual
,,,,,,Total Conductivity (Lab),842,umhos/cm,WCMP,4/26/2006,Actual
,,,,,,Total Total Ammonia,0.24,mg/L,WCMP,4/26/2006,Actual
,,,,,,Total Total Dissolved Solids,550,mg/L,WCMP,4/26/2006,Actual
,,,,,,Total Total Phosphorus,0.093,mg/L,WCMP,4/26/2006,Actual
,,,,,,Total Total Suspended Solids,38,mg/L,WCMP,4/26/2006,Actual
,,,,,,Total Conductivity (Field),789,umhos/cm,WCMP,4/26/2006,Actual
,,,,,,Total Total Alkalinity,133,mg CaCO3/L,WCMP,4/26/2006,Actual
,,,,,,Total Total Calcium,54.6,mg/L,WCMP,4/26/2006,Actual
,,,,,,Total Total Magnesium,13.8,mg/L,WCMP,4/26/2006,Actual
,,,,,,Total Total Organic Carbon,6.2,mg/L,WCMP,4/26/2006,Actual
,,,,,,Total Total Sulfate,37,mg/L,WCMP,4/26/2006,Actual
,,,,,,Total Copper,3.71,ug/l,WCTMP,4/24/2002,Actual
,,,,,,Total Cyanide,*Present <QL,mg/l,WCTMP,4/24/2002,Actual
,,,,,,Total Hardness, carbonate,186,mg/l,WCTMP,4/24/2002
,,,,,,Total Lead,2.61,ug/l,WCTMP,4/24/2002,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.128,mg/l,WCTMP,4/24/2002
,,,,,,Total Nitrogen, Kjeldahl,0.64,mg/l,WCTMP,4/24/2002
,,,,,,Total pH,7.75,,WCTMP,4/24/2002,Actual
,,,,,,Total Total Organic Carbon (TOC),4.7,mg/l,WCTMP,4/24/2002,Actual
,,,,,,Total Alkalinity, Total - carbonate, bicarbonate, & hydroxide mix,127,mg/l
,,,,,,Total Cadmium,0.073,ug/l,WCTMP,4/24/2002,Actual
,,,,,,Total Chloride,103,mg/l,WCTMP,4/24/2002,Actual
,,,,,,Total Chromium,2.47,ug/l,WCTMP,4/24/2002,Actual
,,,,,,Total Nickel,3.38,ug/l,WCTMP,4/24/2002,Actual
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.018,mg/l,WCTMP,4/24/2002
,,,,,,Total Potassium,2.7,mg/l,WCTMP,4/24/2002,Actual
,,,,,,Total Sulfide,*Present <QL,mg/l,WCTMP,4/24/2002,Actual
,,,,,,Total Total Suspended Solids (TSS),21,mg/l,WCTMP,4/24/2002,Actual
,,,,,,Total Turbidity,17,mg/l,WCTMP,4/24/2002,Actual
,,,,,,Total Zinc,12.7,ug/l,WCTMP,4/24/2002,Actual
,,,,,, Temperature, water,14.3,deg C,WCTMP,4/24/2002
,,,,,,Total Mercury,4.85,ng/l,WCTMP,4/24/2002,Actual
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,0.9,mg/l,WCTMP,4/24/2002
,,,,,,Total Specific conductivity,670,umho/cm,WCTMP,4/24/2002,Actual
,,,,,,Dissolved Dissolved Solids,440,mg/l,WCTMP,4/24/2002,Calculated
,,,,,,Total Calcium,52.5,mg/l,WCTMP,4/24/2002,Actual
,,,,,,Total Magnesium,13.2,mg/l,WCTMP,4/24/2002,Actual
,,,,,,Total Phosphorus,0.075,mg/l,WCTMP,4/24/2002,Actual
,,,,,,Total Phosphorus, orthophosphate as P,0.011,mg/l,WCTMP,4/24/2002
,,,,,,Total Sodium,60.2,mg/l,WCTMP,4/24/2002,Actual
,,,,,,Total Sulfate (SO4) as SO4,32,mg/l,WCTMP,4/24/2002,Actual
,,,,,,Total Conductivity (Lab),1216,umhos/cm,WCMP,4/2/2007,Actual
,,,,,,Total Hardness Ca2CO3,256,mg/L,WCMP,4/2/2007,Actual
,,,,,,Total pH (Field),8.1,pH,WCMP,4/2/2007,Actual
,,,,,,Total pH (Lab),8.07,pH,WCMP,4/2/2007,Actual
,,,,,,Total Total Alkalinity,166,mg CaCO3/L,WCMP,4/2/2007,Actual
,,,,,,Total Total Nitrite,0.019,mg/L,WCMP,4/2/2007,Actual
,,,,,,Total Total Phosphorus,0.073,mg/L,WCMP,4/2/2007,Actual
,,,,,,Total Temperature of Water,12.4,C,WCMP,4/2/2007,Actual
,,,,,,Total Total Calcium,73.9,mg/L,WCMP,4/2/2007,Actual
,,,,,,Total Total Kjeldahl Nitrogen,0.77,mg/L,WCMP,4/2/2007,Actual
,,,,,,Total Total Ortho Phosphate,0.01,mg/L,WCMP,4/2/2007,Actual
,,,,,,Total Turbidity,14,NTU,WCMP,4/2/2007,Actual
,,,,,,Total Conductivity (Field),1230,umhos/cm,WCMP,4/2/2007,Actual
,,,,,,Total Dissolved Oxygen (Field),8.7,mg/L,WCMP,4/2/2007,Actual
,,,,,,Total Total Dissolved Solids,790,mg/L,WCMP,4/2/2007,Actual
,,,,,,Total Total Magnesium,17.3,mg/L,WCMP,4/2/2007,Actual
,,,,,,Total Total Nitrate,1.12,mg/L,WCMP,4/2/2007,Actual
,,,,,,Total Total Organic Carbon,5.8,mg/L,WCMP,4/2/2007,Actual
,,,,,,Total Total Sodium,139,mg/L,WCMP,4/2/2007,Actual
,,,,,,Total Total Sulfate,45,mg/L,WCMP,4/2/2007,Actual
,,,,,,Total Total Suspended Solids,15,mg/L,WCMP,4/2/2007,Actual
,,,,,,Total Total Ammonia,0.113,mg/L,WCMP,4/2/2007,Actual
,,,,,,Total Total Potassium,7.6,mg/L,WCMP,4/2/2007,Actual
,,,,,, Temperature, water,5.8,deg C,WCTMP,4/2/2001
,,,,,,Total Calcium,47.6,mg/l,WCTMP,4/2/2001,Actual
,,,,,,Total Mercury,0.74,ng/l,WCTMP,4/2/2001,Actual
,,,,,,Total Nickel,2.56,ug/l,WCTMP,4/2/2001,Actual
,,,,,,Total Phosphorus,0.032,mg/l,WCTMP,4/2/2001,Actual
,,,,,,Total Chromium,0.97,ug/l,WCTMP,4/2/2001,Actual
,,,,,,Total Magnesium,12.4,mg/l,WCTMP,4/2/2001,Actual
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.009,mg/l,WCTMP,4/2/2001
,,,,,,Total Zinc,5.18,ug/l,WCTMP,4/2/2001,Actual
,,,,,,Dissolved Dissolved Solids,360,mg/l,WCTMP,4/2/2001,Calculated
,,,,,,Total Alkalinity, Total - carbonate, bicarbonate, & hydroxide mix,108,mg/l
,,,,,,Total Chloride,81,mg/l,WCTMP,4/2/2001,Actual
,,,,,,Total Copper,1.72,ug/l,WCTMP,4/2/2001,Actual
,,,,,,Total Cyanide,*Present <QL,mg/l,WCTMP,4/2/2001,Actual
,,,,,,Total Lead,0.673,ug/l,WCTMP,4/2/2001,Actual
,,,,,,Total Nitrogen, Kjeldahl,0.36,mg/l,WCTMP,4/2/2001
,,,,,,Total Phosphorus, orthophosphate as P,0.014,mg/l,WCTMP,4/2/2001
,,,,,,Total Sulfate (SO4) as SO4,21,mg/l,WCTMP,4/2/2001,Actual
,,,,,,Total Cadmium,0.03,ug/l,WCTMP,4/2/2001,Actual
,,,,,,Total Hardness, carbonate,170,mg/l,WCTMP,4/2/2001
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.076,mg/l,WCTMP,4/2/2001
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,0.78,mg/l,WCTMP,4/2/2001
,,,,,,Total pH,8.02,,WCTMP,4/2/2001,Actual
,,,,,,Total Specific conductivity,547,umho/cm,WCTMP,4/2/2001,Actual
,,,,,,Total Sulfide,*Present <QL,mg/l,WCTMP,4/2/2001,Actual
,,,,,,Total Total Organic Carbon (TOC),3.6,mg/l,WCTMP,4/2/2001,Actual
,,,,,,Total Total Suspended Solids (TSS),4,mg/l,WCTMP,4/2/2001,Actual
,,,,,,Total Turbidity,4.3,mg/l,WCTMP,4/2/2001,Actual
,,,,,,Total Hardness Ca2CO3,227,mg/L,WCMP,4/17/2008,Actual
,,,,,,Total Total Nitrate,1.08,mg/L,WCMP,4/17/2008,Actual
,,,,,,Total Total Phosphorus,0.04,mg/L,WCMP,4/17/2008,Actual
,,,,,,Total Temperature of Water,12.4,C,WCMP,4/17/2008,Actual
,,,,,,Total Total Ammonia,0.082,mg/L,WCMP,4/17/2008,Actual
,,,,,,Total Total Calcium,64,mg/L,WCMP,4/17/2008,Actual
,,,,,,Total Total Dissolved Solids,720,mg/L,WCMP,4/17/2008,Actual
,,,,,,Total Total Nitrite,0.015,mg/L,WCMP,4/17/2008,Actual
,,,,,,Total Total Ortho Phosphate,0.007,mg/L,WCMP,4/17/2008,Actual
,,,,,,Total Conductivity (Lab),1107,umhos/cm,WCMP,4/17/2008,Actual
,,,,,,Total pH (Field),7.9,pH,WCMP,4/17/2008,Actual
,,,,,,Total Total Kjeldahl Nitrogen,0.7,mg/L,WCMP,4/17/2008,Actual
,,,,,,Total Total Magnesium,16.3,mg/L,WCMP,4/17/2008,Actual
,,,,,,Total Total Organic Carbon,4.8,mg/L,WCMP,4/17/2008,Actual
,,,,,,Total Total Potassium,7,mg/L,WCMP,4/17/2008,Actual
,,,,,,Total Total Sulfate,38,mg/L,WCMP,4/17/2008,Actual
,,,,,,Total Total Suspended Solids,8,mg/L,WCMP,4/17/2008,Actual
,,,,,,Total Turbidity,8.5,NTU,WCMP,4/17/2008,Actual
,,,,,,Total Conductivity (Field),1090,umhos/cm,WCMP,4/17/2008,Actual
,,,,,,Total Dissolved Oxygen (Field),9.7,mg/L,WCMP,4/17/2008,Actual
,,,,,,Total pH (Lab),8.11,pH,WCMP,4/17/2008,Actual
,,,,,,Total Total Alkalinity,152,mg CaCO3/L,WCMP,4/17/2008,Actual
,,,,,,Total Total Sodium,121,mg/L,WCMP,4/17/2008,Actual
,,,,,,Total pH (Field),8.1,pH,WCMP,4/14/2009,Actual
,,,,,,Total Total Dissolved Solids,430,mg/L,WCMP,4/14/2009,Actual
,,,,,,Total Total Phosphorus,0.038,mg/L,WCMP,4/14/2009,Actual
,,,,,,Total Temperature of Water,7.1,C,WCMP,4/14/2009,Actual
,,,,,,Total Total Ammonia,0.058,mg/L,WCMP,4/14/2009,Actual
,,,,,,Total Total Kjeldahl Nitrogen,0.47,mg/L,WCMP,4/14/2009,Actual
,,,,,,Total Hardness Ca2CO3,179,mg/L,WCMP,4/14/2009,Actual
,,,,,,Total Total Magnesium,12.6,mg/L,WCMP,4/14/2009,Actual
,,,,,,Total Total Nitrate,0.67,mg/L,WCMP,4/14/2009,Actual
,,,,,,Total Total Nitrite,0.009,mg/L,WCMP,4/14/2009,Actual
,,,,,,Total Total Organic Carbon,3.5,mg/L,WCMP,4/14/2009,Actual
,,,,,,Total Total Ortho Phosphate,0.015,mg/L,WCMP,4/14/2009,Actual
,,,,,,Total Total Potassium,2.5,mg/L,WCMP,4/14/2009,Actual
,,,,,,Total Conductivity (Field),678,umhos/cm,WCMP,4/14/2009,Actual
,,,,,,Total Conductivity (Lab),658,umhos/cm,WCMP,4/14/2009,Actual
,,,,,,Total Dissolved Oxygen (Field),11.1,mg/L,WCMP,4/14/2009,Actual
,,,,,,Total pH (Lab),8.16,pH,WCMP,4/14/2009,Actual
,,,,,,Total Total Alkalinity,119,mg CaCO3/L,WCMP,4/14/2009,Actual
,,,,,,Total Total Calcium,50.7,mg/L,WCMP,4/14/2009,Actual
,,,,,,Total Total Sodium,61.8,mg/L,WCMP,4/14/2009,Actual
,,,,,,Total Total Sulfate,34,mg/L,WCMP,4/14/2009,Actual
,,,,,,Total Total Suspended Solids,5,mg/L,WCMP,4/14/2009,Actual
,,,,,,Total Turbidity,5.9,NTU,WCMP,4/14/2009,Actual
,,,,,,Total Copper,3.94,ug/l,WCTMP,4/14/2003,Actual
,,,,,,Total Hardness, carbonate,163,mg/l,WCTMP,4/14/2003
,,,,,,Total Nitrogen, Kjeldahl,0.51,mg/l,WCTMP,4/14/2003
,,,,,,Total Sodium,60,mg/l,WCTMP,4/14/2003,Actual
,,,,,,Total Total Suspended Solids (TSS),21,mg/l,WCTMP,4/14/2003,Actual
,,,,,, Temperature, water,7.5,deg C,WCTMP,4/14/2003
,,,,,,Total Alkalinity, Total - carbonate, bicarbonate, & hydroxide mix,92,mg/l
,,,,,,Total Cadmium,0.071,ug/l,WCTMP,4/14/2003,Actual
,,,,,,Total Calcium,46.8,mg/l,WCTMP,4/14/2003,Actual
,,,,,,Total Chromium,2.08,ug/l,WCTMP,4/14/2003,Actual
,,,,,,Total Cyanide,*Non-detect,mg/l,WCTMP,4/14/2003,Actual
,,,,,,Total Turbidity,16,mg/l,WCTMP,4/14/2003,Actual
,,,,,,Dissolved Dissolved Solids,410,mg/l,WCTMP,4/14/2003,Calculated
,,,,,,Total Chloride,112,mg/l,WCTMP,4/14/2003,Actual
,,,,,,Total Magnesium,11.2,mg/l,WCTMP,4/14/2003,Actual
,,,,,,Total Nickel,2.51,ug/l,WCTMP,4/14/2003,Actual
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,0.85,mg/l,WCTMP,4/14/2003
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.018,mg/l,WCTMP,4/14/2003
,,,,,,Total pH,7.89,,WCTMP,4/14/2003,Actual
,,,,,,Total Phosphorus,0.061,mg/l,WCTMP,4/14/2003,Actual
,,,,,,Total Phosphorus, orthophosphate as P,0.02,mg/l,WCTMP,4/14/2003
,,,,,,Total Potassium,3.9,mg/l,WCTMP,4/14/2003,Actual
,,,,,,Total Sulfate (SO4) as SO4,27,mg/l,WCTMP,4/14/2003,Actual
,,,,,,Total Total Organic Carbon (TOC),4.4,mg/l,WCTMP,4/14/2003,Actual
,,,,,,Total Zinc,12.3,ug/l,WCTMP,4/14/2003,Actual
,,,,,,Total Lead,2.37,ug/l,WCTMP,4/14/2003,Actual
,,,,,,Total Mercury,4.97,ng/l,WCTMP,4/14/2003,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.078,mg/l,WCTMP,4/14/2003
,,,,,,Total Specific conductivity,628,umho/cm,WCTMP,4/14/2003,Actual
,,,,,,Total Total Ammonia,0.406865,mg/L,WCMP,4/1/2013,Actual
,,,,,,Total Total Dissolved Solids,660,mg/L,WCMP,4/1/2013,Actual
,,,,,,Total Total Potassium,11,mg/L,WCMP,4/1/2013,Actual
,,,,,,Total Total Sulfate,59.21106,mg/L,WCMP,4/1/2013,Actual
,,,,,,Total Conductivity (Field),1247,umhos/cm,WCMP,4/1/2013,Actual
,,,,,,Total Total Alkalinity,162.0349,mg/L,WCMP,4/1/2013,Actual
,,,,,,Total Total Magnesium,18,mg/L,WCMP,4/1/2013,Actual
,,,,,,Total Total Organic Carbon,3.9,mg/L,WCMP,4/1/2013,Actual
,,,,,,Total Total Phosphorus,0.1033,mg/L,WCMP,4/1/2013,Actual
,,,,,,Total Total Sodium,140,mg/L,WCMP,4/1/2013,Actual
,,,,,,Total Dissolved Oxygen (Field),8.5,mg/L,WCMP,4/1/2013,Actual
,,,,,,Total Nitrate + Nitrite,1.631615,mg/L,WCMP,4/1/2013,Actual
,,,,,,Total pH (Field),8,pH,WCMP,4/1/2013,Actual
,,,,,,Total pH (Lab),8.01,pH,WCMP,4/1/2013,Actual
,,,,,,Total Total Calcium,74,mg/L,WCMP,4/1/2013,Actual
,,,,,,Total Total Kjeldahl Nitrogen,1.1051,mg/L,WCMP,4/1/2013,Actual
,,,,,,Total Total Nitrite,0.030789,mg/L,WCMP,4/1/2013,Actual
,,,,,,Total Total Ortho Phosphate,0.03064,mg/L,WCMP,4/1/2013,Actual
,,,,,,Total Total Suspended Solids,33,mg/L,WCMP,4/1/2013,Actual
,,,,,,Total Chloride,252.6101,mg/L,WCMP,4/1/2013,Actual
,,,,,,Total Conductivity (Lab),1298,umhos/cm,WCMP,4/1/2013,Actual
,,,,,,Total Temperature of Water,11.6,° C,WCMP,4/1/2013,Actual
,,,,,,Total Turbidity,28.4,NTU,WCMP,4/1/2013,Actual
,,,,,,Total Dissolved Oxygen (Field),13.2,mg/L          ,WCMP,3/28/2011,Actual
,,,,,,Total Hardness Ca2CO3,114,mg/L          ,WCMP,3/28/2011,Actual
,,,,,,Total pH (Field),8.1,pH            ,WCMP,3/28/2011,Actual
,,,,,,Total pH (Lab),8.25,pH            ,WCMP,3/28/2011,Actual
,,,,,,Total Total Ammonia,0.051,mg/L,WCMP,3/28/2011,Actual
,,,,,,Total Total Dissolved Solids,200,mg/L          ,WCMP,3/28/2011,Actual
,,,,,,Total Total Magnesium,8.2,mg/L          ,WCMP,3/28/2011,Actual
,,,,,,Total Total Organic Carbon,2.1,mg/L          ,WCMP,3/28/2011,Actual
,,,,,,Total Total Phosphorus                        ,0.016,mg/L,WCMP,3/28/2011,Actual
,,,,,,Total Conductivity (Field),293,umhos/cm      ,WCMP,3/28/2011,Actual
,,,,,,Total Total Nitrate,0.59,mg/L,WCMP,3/28/2011,Actual
,,,,,,Total Total Nitrite,0.007,mg/L,WCMP,3/28/2011,Actual
,,,,,,Total Total Potassium,1.4,mg/L          ,WCMP,3/28/2011,Actual
,,,,,,Total Chloride                                ,24,mg/L          ,WCMP,3/28/2011,Actual
,,,,,,Total Total Alkalinity,88,mg/L          ,WCMP,3/28/2011,Actual
,,,,,,Total Total Kjeldahl Nitrogen                 ,0.22,mg/L,WCMP,3/28/2011,Actual
,,,,,,Total Total Ortho Phosphate,0.005,mg/L,WCMP,3/28/2011,Actual
,,,,,,Total Total Sodium,14.2,mg/L          ,WCMP,3/28/2011,Actual
,,,,,,Total Total Sulfate,18,mg/L          ,WCMP,3/28/2011,Actual
,,,,,,Total Conductivity (Lab),302,umhos/cm      ,WCMP,3/28/2011,Actual
,,,,,,Total Nitrate + Nitrite                       ,0.594,mg/L,WCMP,3/28/2011,Actual
,,,,,,Total Temperature of Water,2.2,° C           ,WCMP,3/28/2011,Actual
,,,,,,Total Total Calcium,32.1,mg/L          ,WCMP,3/28/2011,Actual
,,,,,,Total Total Suspended Solids,5,mg/L          ,WCMP,3/28/2011,Actual
,,,,,,Total Turbidity                               ,5.5,NTU           ,WCMP,3/28/2011,Actual
,,,,,,Total Chloride                                ,249,mg/L          ,WCMP,3/24/2010,Actual
,,,,,,Total Nitrate + Nitrite                       ,1.33,mg/L,WCMP,3/24/2010,Actual
,,,,,,Total Total Nitrate,1.31,mg/L,WCMP,3/24/2010,Actual
,,,,,,Total Total Nitrite,0.024,mg/L,WCMP,3/24/2010,Actual
,,,,,,Total Total Potassium,9.5,mg/L          ,WCMP,3/24/2010,Actual
,,,,,,Total Conductivity (Field),1229,umhos/cm      ,WCMP,3/24/2010,Actual
,,,,,,Total Hardness Ca2CO3,265,mg/L          ,WCMP,3/24/2010,Actual
,,,,,,Total pH (Field),8.2,pH            ,WCMP,3/24/2010,Actual
,,,,,,Total pH (Lab),8.18,pH            ,WCMP,3/24/2010,Actual
,,,,,,Total Total Ammonia,0.144,mg/L,WCMP,3/24/2010,Actual
,,,,,,Total Total Kjeldahl Nitrogen                 ,0.76,mg/L,WCMP,3/24/2010,Actual
,,,,,,Total Total Magnesium,16.9,mg/L          ,WCMP,3/24/2010,Actual
,,,,,,Total Total Ortho Phosphate,0.026,mg/L,WCMP,3/24/2010,Actual
,,,,,,Total Total Sulfate,41,mg/L          ,WCMP,3/24/2010,Actual
,,,,,,Total Total Suspended Solids,8,mg/L          ,WCMP,3/24/2010,Actual
,,,,,,Total Turbidity                               ,5,NTU           ,WCMP,3/24/2010,Actual
,,,,,,Total Conductivity (Lab),1205,umhos/cm      ,WCMP,3/24/2010,Actual
,,,,,,Total Dissolved Oxygen (Field),10.4,mg/L          ,WCMP,3/24/2010,Actual
,,,,,,Total Total Alkalinity,165,mg CaCO3/L,WCMP,3/24/2010,Actual
,,,,,,Total Total Dissolved Solids,780,mg/L          ,WCMP,3/24/2010,Actual
,,,,,,Total Total Organic Carbon,4.6,mg/L          ,WCMP,3/24/2010,Actual
,,,,,,Total Temperature of Water,10.9,° C           ,WCMP,3/24/2010,Actual
,,,,,,Total Total Calcium,78.3,mg/L          ,WCMP,3/24/2010,Actual
,,,,,,Total Total Phosphorus                        ,0.063,mg/L,WCMP,3/24/2010,Actual
,,,,,,Total Total Sodium,141,mg/L          ,WCMP,3/24/2010,Actual
,,,,,,Total Alkalinity, Bicarbonate as CaCO3,73,mg/l,WCTMP,3/14/2005
,,,,,,Total Chromium,0.126,ug/l,WCTMP,3/14/2005,Actual
,,,,,,Total Nickel,0.964,ug/l,WCTMP,3/14/2005,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.021,mg/l,WCTMP,3/14/2005
,,,,,,Total Nitrogen, Kjeldahl,0.17,mg/l,WCTMP,3/14/2005
,,,,,,Total Phosphorus, orthophosphate as P,0.003,mg/l,WCTMP,3/14/2005
,,,,,,Total Sodium,15.6,mg/l,WCTMP,3/14/2005,Actual
,,,,,,Total Total Suspended Solids (TSS),*Non-detect,mg/l,WCTMP,3/14/2005,Actual
,,,,,,Total Zinc,0.92,ug/l,WCTMP,3/14/2005,Actual
,,,,,,Total Alkalinity, Carbonate as CaCO3,*Non-detect,mg/l,WCTMP,3/14/2005
,,,,,,Total Alkalinity, Total (total hydroxide+carbonate+bicarbonate),73,mg/l,WCTMP,3/14/2005
,,,,,,Total Cadmium,0.00895,ug/l,WCTMP,3/14/2005,Actual
,,,,,,Total Calcium,30.3,mg/l,WCTMP,3/14/2005,Actual
,,,,,,Total Copper,0.793,ug/l,WCTMP,3/14/2005,Actual
,,,,,,Total Hardness, carbonate,109,mg/l,WCTMP,3/14/2005
,,,,,,Total Magnesium,8,mg/l,WCTMP,3/14/2005,Actual
,,,,,,Total Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N,0.4,mg/l,WCTMP,3/14/2005
,,,,,,Total Specific conductance,289,umho/cm,WCTMP,3/14/2005,Actual
,,,,,,Total Sulfur, sulfate (SO4) as SO4,13,mg/l,WCTMP,3/14/2005
,,,,,,Total Turbidity,*Non-detect,mg/l,WCTMP,3/14/2005,Actual
,,,,,, Temperature, water,0.2,deg C,WCTMP,3/14/2005
,,,,,,Dissolved Dissolved Solids,190,mg/l,WCTMP,3/14/2005,Calculated
,,,,,,Total Lead,0.112,ug/l,WCTMP,3/14/2005,Actual
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,0.4,mg/l,WCTMP,3/14/2005
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.003,mg/l,WCTMP,3/14/2005
,,,,,,Total Potassium,1.2,mg/l,WCTMP,3/14/2005,Actual
,,,,,,Total Chloride,23,mg/l,WCTMP,3/14/2005,Actual
,,,,,,Total Mercury in Water,0.4,ug/l,WCTMP,3/14/2005,Actual
,,,,,,Total pH,8.08,,WCTMP,3/14/2005,Actual
,,,,,,Total Phosphorus,0.009,mg/l,WCTMP,3/14/2005,Actual
,,,,,,Total Total Organic Carbon (TOC),1.4,mg/l,WCTMP,3/14/2005,Actual
,,,,,,Total Conductivity (Lab),579,umhos/cm      ,WCMP,11/8/2010,Actual
,,,,,,Total Dissolved Oxygen (Field),7.2,mg/L          ,WCMP,11/8/2010,Actual
,,,,,,Total Total Kjeldahl Nitrogen                 ,0.74,mg/L,WCMP,11/8/2010,Actual
,,,,,,Total Total Ortho Phosphate,0.086,mg/L,WCMP,11/8/2010,Actual
,,,,,,Total Total Phosphorus                        ,0.131,mg/L,WCMP,11/8/2010,Actual
,,,,,,Total Turbidity                               ,11,NTU           ,WCMP,11/8/2010,Actual
,,,,,,Total Chloride                                ,87,mg/L          ,WCMP,11/8/2010,Actual
,,,,,,Total Temperature of Water,13,° C           ,WCMP,11/8/2010,Actual
,,,,,,Total Total Magnesium,11.2,mg/L          ,WCMP,11/8/2010,Actual
,,,,,,Total Total Nitrite,0.025,mg/L,WCMP,11/8/2010,Actual
,,,,,,Total Total Organic Carbon,2.7,mg/L          ,WCMP,11/8/2010,Actual
,,,,,,Total Total Suspended Solids,10,mg/L          ,WCMP,11/8/2010,Actual
,,,,,,Total Conductivity (Field),523,umhos/cm      ,WCMP,11/8/2010,Actual
,,,,,,Total Hardness Ca2CO3,165,mg/L          ,WCMP,11/8/2010,Actual
,,,,,,Total Total Ammonia,0.396,mg/L,WCMP,11/8/2010,Actual
,,,,,,Total Total Dissolved Solids,380,mg/L          ,WCMP,11/8/2010,Actual
,,,,,,Total Total Potassium,12.3,mg/L          ,WCMP,11/8/2010,Actual
,,,,,,Total Total Sodium,39.9,mg/L          ,WCMP,11/8/2010,Actual
,,,,,,Total Total Sulfate,27,mg/L          ,WCMP,11/8/2010,Actual
,,,,,,Total Nitrate + Nitrite                       ,1.64,mg/L,WCMP,11/8/2010,Actual
,,,,,,Total pH (Field),7.9,pH            ,WCMP,11/8/2010,Actual
,,,,,,Total pH (Lab),7.79,pH            ,WCMP,11/8/2010,Actual
,,,,,,Total Total Alkalinity,103,mg CaCO3/L,WCMP,11/8/2010,Actual
,,,,,,Total Total Calcium,47.7,mg/L          ,WCMP,11/8/2010,Actual
,,,,,,Total Total Nitrate,1.61,mg/L,WCMP,11/8/2010,Actual
,,,,,,Total Calcium,42.3,mg/l,WCTMP,11/8/2005,Actual
,,,,,,Total Lead,4.21,ug/l,WCTMP,11/8/2005,Actual
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.013,mg/l,WCTMP,11/8/2005
,,,,,,Dissolved Dissolved Solids,340,mg/l,WCTMP,11/8/2005,Calculated
,,,,,,Total Alkalinity, Carbonate as CaCO3,*Non-detect,mg/l,WCTMP,11/8/2005
,,,,,,Total Alkalinity, Total (total hydroxide+carbonate+bicarbonate),97,mg/l,WCTMP,11/8/2005
,,,,,,Total Magnesium,10.8,mg/l,WCTMP,11/8/2005,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.102,mg/l,WCTMP,11/8/2005
,,,,,,Total Nitrogen, Kjeldahl,0.47,mg/l,WCTMP,11/8/2005
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,0.93,mg/l,WCTMP,11/8/2005
,,,,,,Total Phosphorus,0.084,mg/l,WCTMP,11/8/2005,Actual
,,,,,,Total Sodium,36.7,mg/l,WCTMP,11/8/2005,Actual
,,,,,,Total Alkalinity, Bicarbonate as CaCO3,97,mg/l,WCTMP,11/8/2005
,,,,,,Total Copper,4.41,ug/l,WCTMP,11/8/2005,Actual
,,,,,,Total Hardness, carbonate,150,mg/l,WCTMP,11/8/2005
,,,,,,Total Mercury in Water,6.86,ug/l,WCTMP,11/8/2005,Actual
,,,,,,Total Nickel,3.77,ug/l,WCTMP,11/8/2005,Actual
,,,,,,Total Phosphorus, orthophosphate as P,0.021,mg/l,WCTMP,11/8/2005
,,,,,,Total Total Organic Carbon (TOC),3,mg/l,WCTMP,11/8/2005,Actual
,,,,,,Total Zinc,20.6,ug/l,WCTMP,11/8/2005,Actual
,,,,,,Total Cadmium,0.109,ug/l,WCTMP,11/8/2005,Actual
,,,,,,Total Chloride,75,mg/l,WCTMP,11/8/2005,Actual
,,,,,,Total Chromium,2.7,ug/l,WCTMP,11/8/2005,Actual
,,,,,,Total Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N,0.94,mg/l,WCTMP,11/8/2005
,,,,,,Total pH,7.68,,WCTMP,11/8/2005,Actual
,,,,,,Total Potassium,10.3,mg/l,WCTMP,11/8/2005,Actual
,,,,,,Total Specific conductance,525,umho/cm,WCTMP,11/8/2005,Actual
